place,placeLabel,country,countryLabel,description,coordinates
http://www.wikidata.org/entity/Q60945147,House of Merchant M.A. Gavrilov,http://www.wikidata.org/entity/Q232,Kasachstan,"monument in Almaty, Kazakhstan",Point(76.940551 43.242949)
http://www.wikidata.org/entity/Q60971827,Q60971827,http://www.wikidata.org/entity/Q159,Russland,,Point(36.174922 51.780143)
http://www.wikidata.org/entity/Q60972441,Water towers in Pyriatyn,http://www.wikidata.org/entity/Q212,Ukraine,,Point(32.515135 50.22215)
http://www.wikidata.org/entity/Q60972563,Q60972563,http://www.wikidata.org/entity/Q212,Ukraine,,Point(32.510956 50.243702)
http://www.wikidata.org/entity/Q60978773,Earl Mordovinov Castle,http://www.wikidata.org/entity/Q159,Russland,"tourist attraction, mansion in Yalta, Crimea",Point(34.172638888 44.504027777)
http://www.wikidata.org/entity/Q60978773,Earl Mordovinov Castle,http://www.wikidata.org/entity/Q212,Ukraine,"tourist attraction, mansion in Yalta, Crimea",Point(34.172638888 44.504027777)
http://www.wikidata.org/entity/Q60983194,Satara (Kruger National Park),http://www.wikidata.org/entity/Q258,Südafrika,rest camp in the southern Kruger National Park,Point(31.780555555 -24.392222222)
http://www.wikidata.org/entity/Q60990827,South Lake of Tangshan,http://www.wikidata.org/entity/Q148,Volksrepublik China,,Point(118.1547 39.5945)
http://www.wikidata.org/entity/Q60996569,Q60996569,http://www.wikidata.org/entity/Q865,Republik China,,Point(120.669013888 22.6535)
http://www.wikidata.org/entity/Q61000857,Ladeira do Jacaré,http://www.wikidata.org/entity/Q155,Brasilien,"historic street in Alcântara, Maranhão, Brazil",
http://www.wikidata.org/entity/Q61112933,Mound Shvaikivtsi I,http://www.wikidata.org/entity/Q212,Ukraine,,Point(25.951222222 49.016111111)
http://www.wikidata.org/entity/Q61115593,Building of the former women's gymnasium in Izium,http://www.wikidata.org/entity/Q212,Ukraine,,Point(37.279096 49.191333)
http://www.wikidata.org/entity/Q61602970,Adorno-Ampel,http://www.wikidata.org/entity/Q183,Deutschland,traffic light in Frankfurt am Main,Point(8.652997222 50.118316666)
http://www.wikidata.org/entity/Q61718049,Q61718049,http://www.wikidata.org/entity/Q159,Russland,,Point(34.156944444 44.493333333)
http://www.wikidata.org/entity/Q61718049,Q61718049,http://www.wikidata.org/entity/Q212,Ukraine,,Point(34.156944444 44.493333333)
http://www.wikidata.org/entity/Q61740553,Ripley's Aquarium of The Smokies,http://www.wikidata.org/entity/Q30,Vereinigte Staaten,"Public Aquarium in Gatlinburg, Tennessee",
http://www.wikidata.org/entity/Q61740561,Ripley's Aquarium of Myrtle Beach,http://www.wikidata.org/entity/Q30,Vereinigte Staaten,"public aquarium in Myrtle Beach, South Carolina",
http://www.wikidata.org/entity/Q61740755,Sky Garden,http://www.wikidata.org/entity/Q145,Vereinigtes Königreich,public garden in London,
http://www.wikidata.org/entity/Q61744101,Green Dining Room of the Catherine Palace,http://www.wikidata.org/entity/Q159,Russland,,Point(30.392964 59.715525)
http://www.wikidata.org/entity/Q61779285,Tamina Gorge,http://www.wikidata.org/entity/Q218,Rumänien,canyon in Romania,Point(25.61057 45.53371)
http://www.wikidata.org/entity/Q61832130,Immaculate Conception church in Yalta,http://www.wikidata.org/entity/Q159,Russland,"church building in Yalta, Crimea",Point(34.156255 44.490997)
http://www.wikidata.org/entity/Q61832130,Immaculate Conception church in Yalta,http://www.wikidata.org/entity/Q212,Ukraine,"church building in Yalta, Crimea",Point(34.156255 44.490997)
http://www.wikidata.org/entity/Q61852762,"Camera Museum, İstanbul",http://www.wikidata.org/entity/Q43,Türkei,museum in Istanbul,Point(28.878777 40.99434)
http://www.wikidata.org/entity/Q61865767,Pozharsky hotel in Torzhok,http://www.wikidata.org/entity/Q159,Russland,building in Russia,Point(34.969743 57.04076)
http://www.wikidata.org/entity/Q61866151,The park Lake Parterre,http://www.wikidata.org/entity/Q34,Schweden,the park that extends east of the Drottningholm Palace down towards Lake Mälaren,
http://www.wikidata.org/entity/Q61866577,Q61866577,http://www.wikidata.org/entity/Q159,Russland,,Point(34.157934938 44.4856779)
http://www.wikidata.org/entity/Q61866577,Q61866577,http://www.wikidata.org/entity/Q212,Ukraine,,Point(34.157934938 44.4856779)
